user_id,content_size,highlight_tiles,highlight_links,text_magnifier,align_text,font_size,line_height,letter_spacing,contrast,saturation,mute_sounds,hide_images,reading_mask,highlight_hover,cursor
2ba45388-19d4-45af-a175-4a5197030e92,7172,False,False,False,None,1227,6105,2897,Monochrome,Low,False,False,True,True,Regular
c09aa360-c955-4ab1-81ec-a24d4f56f5b4,6615,False,False,True,None,6078,8277,2215,Monochrome,Monochrome,False,False,False,False,Big Black Cursor
bc93c602-5148-42b4-861f-c114ba3628f4,7992,False,True,False,None,8144,3749,9615,Monochrome,Regular,True,True,True,False,Big Black Cursor
adc70bef-c310-4d27-9d65-309df1b14f16,2966,False,False,False,Left,7623,817,3723,Regular,Monochrome,False,False,True,False,Big Black Cursor
3cb99a13-4256-469b-b71a-df8556613d2b,4536,False,False,False,None,1419,5711,2236,Monochrome,Monochrome,False,False,False,False,Regular
4c429794-6e6c-4ec0-a557-8aa408487a24,1791,True,False,False,None,4419,79,4439,Regular,High,False,True,False,False,Big Black Cursor
99cc0ef7-a037-4d35-bfc0-d233076ace89,742,False,True,True,None,1427,3647,2944,Regular,Monochrome,False,False,False,False,Big Black Cursor
116ab37d-c44e-4ea9-8ba4-f3d75c76751a,2719,False,True,True,None,3084,1553,9603,Dark,Regular,False,False,False,False,Big White Cursor
b2993e2b-94ee-4c37-981b-2f8cb16c2e68,377,False,False,False,Left,4143,1869,3570,Regular,Regular,False,False,True,False,Regular
573364cb-3691-44d3-b48f-5b4a48ac3a32,4612,False,False,True,None,6826,2844,4797,Dark,High,False,False,False,False,Big Black Cursor
c88b9521-7634-4119-8910-b58e57f68052,4961,True,True,True,None,1811,7458,4306,Monochrome,Regular,False,False,False,False,Big Black Cursor
80e1eb07-97b1-424c-8415-9f66a4219c67,616,False,False,False,Right,7410,8495,7831,Regular,Low,False,False,False,False,Regular
669357cc-7c86-4cc3-8325-ef7fea3f333c,2510,True,False,False,None,1376,8221,2291,Light,Low,True,False,False,False,Big White Cursor
61fff358-e355-4bb6-b402-2636503dc93c,1766,False,False,False,Left,3698,4481,278,Monochrome,Low,False,False,False,False,Big Black Cursor
418a7bbe-4e61-40bc-8697-4c4646cfff1a,9092,False,False,False,None,2773,1689,2838,Monochrome,Monochrome,True,False,False,False,Regular
3069939e-dc76-4283-8827-2de3f03187ea,3715,False,False,False,Left,9963,8292,3526,Monochrome,Low,False,False,False,False,Regular
0bc0ad26-35fa-4c4b-8cf3-b03b0e64c021,9091,False,False,False,Middle,6240,1497,1875,Dark,Monochrome,False,True,False,False,Big White Cursor
27ff66b1-cb96-4f43-bf31-3cd7d9d716ae,609,False,False,False,Left,6775,6710,1745,Dark,High,False,False,True,False,Big Black Cursor
525c09e6-cc07-471b-81b1-523315f36a55,728,False,False,False,Right,5652,5062,3036,Dark,High,True,True,False,False,Big Black Cursor
9a950fae-8833-45c5-8152-57a1a9047255,3095,False,True,False,Left,9956,2236,7086,Regular,High,False,False,False,True,Regular
689beb86-6952-4149-97fb-29f48742109f,7701,False,False,True,Left,3881,4659,8491,Dark,High,True,False,False,False,Regular
ca877ae3-7622-4697-b9dd-da479d4d844d,4903,True,False,False,Left,8821,9259,237,Regular,Low,True,False,False,True,Regular
b42c3c10-70c1-46cc-a9ba-7a31067532a4,7234,False,False,False,Left,8051,9411,7790,Light,Monochrome,False,False,False,True,Big White Cursor
0da6c691-01cf-41d9-8b3b-31afc1ed3e00,7845,False,True,False,Left,6441,7667,4969,Monochrome,Low,True,False,False,False,Big White Cursor
b85d3ead-29ad-4422-8dde-c669fe9c116a,6437,False,True,False,None,3063,7133,3788,Regular,Monochrome,False,False,True,False,Big Black Cursor
c7bf6f68-fcbf-48dc-bd18-1ee8ed655942,4016,False,False,False,Middle,5210,9929,2066,Dark,High,False,False,False,False,Big White Cursor
96e89e97-259c-43da-b45a-939cc458dc53,5831,True,False,True,Right,7069,6903,5636,Light,Monochrome,False,False,True,False,Big Black Cursor
a815f04f-4521-44d5-a48e-9c68128241e5,6502,False,False,False,Left,6885,5889,3831,Monochrome,Monochrome,False,False,False,False,Big Black Cursor
d74b0f78-912a-4965-93a3-cc69c4d3b97e,9998,True,False,False,Right,9826,1167,9993,Dark,Monochrome,False,True,False,True,Regular
4c24b9cb-0226-4a19-a2cf-00544b00c7fa,5219,False,False,True,Right,2629,7467,9952,Regular,High,False,True,True,False,Big Black Cursor
1a89cecf-d645-41ed-bb30-b9e39a325445,6831,True,False,False,Middle,276,332,7558,Monochrome,Monochrome,False,True,False,False,Big Black Cursor
e1d2c2f1-dc46-4f88-80f5-7cbdbfe06005,1907,False,True,False,Left,8232,8031,760,Monochrome,High,False,False,False,False,Big White Cursor
4ec4e01e-10a1-4bc9-8f07-99f5aafa3a25,6910,False,False,False,None,2601,3797,3634,Regular,Regular,False,False,True,False,Big White Cursor
790ba5e0-b3e8-48e3-ac88-e3500b9954fd,3852,False,False,True,Right,7455,4984,586,Dark,Low,False,False,False,False,Regular
3c05cccc-1b7a-49b1-bbde-0a99ff0bdec2,7365,False,False,False,Middle,5118,3679,4707,Light,Regular,True,False,False,True,Big Black Cursor
4ec2b67e-0f3c-4f09-a02e-f9e273b2b62e,6587,False,True,False,Middle,3229,5152,8859,Light,Monochrome,False,False,False,True,Big Black Cursor
e6951337-c641-4ed4-ba1d-bb9491ab49d3,3015,False,True,False,Right,7883,2037,6544,Dark,Low,False,False,False,False,Big White Cursor
a1373cc1-a0c6-4d5e-b6fd-f1bd25c4b053,2236,False,False,False,Left,1844,8692,5792,Light,Regular,False,False,False,False,Big White Cursor
fe2c07cd-82a6-45a5-b79f-aaf08ee5e30f,8537,False,True,False,Right,5627,3643,424,Dark,Regular,True,False,True,True,Big White Cursor
e104433e-65f6-47ef-8188-fcf842d33fbf,779,True,False,False,Left,3952,4196,7148,Light,High,False,False,False,False,Big White Cursor
9494d26f-7a47-45ff-bd02-f4bcc59fc4a9,6365,False,False,True,None,5084,8090,562,Light,Monochrome,True,False,False,True,Big Black Cursor
629a6fa2-4804-4f64-9c47-360bcdc137e3,6619,False,True,False,Middle,5859,3657,848,Regular,Monochrome,False,False,False,False,Big White Cursor
b5ad0620-e158-4844-b8ab-a4e8072a813d,2391,False,True,False,Left,5456,3484,3659,Dark,Regular,False,False,False,False,Big White Cursor
31480ebc-03eb-47e6-86c8-eed15c3adb69,985,False,False,False,Middle,6603,6371,5924,Monochrome,Low,False,False,False,True,Regular
c1545ffc-7a93-40fe-bb94-c6a77597b0ab,6347,False,False,False,Right,7412,3783,565,Monochrome,Regular,False,False,False,False,Big White Cursor
7526fd5c-6a63-4a5c-8936-d74caf59a185,2327,True,False,False,Left,5694,2618,2731,Monochrome,Regular,False,False,False,False,Regular
9f761e67-201d-4772-b2c7-348ba27d533d,899,False,False,False,None,9317,6370,70,Light,Regular,False,False,False,False,Big Black Cursor
d5a5c9bc-98e3-4f77-81ad-bceed01979cb,6812,False,False,True,Right,9595,9489,9401,Monochrome,Low,False,False,False,True,Big Black Cursor
