student_id,accomodation_id
f1ae37ac-0ef1-4d80-a3da-46837d66372f,c563b759-743c-49e2-8ad0-abda4ddcf063
416f2689-05cb-4368-89fd-481c51cc51c2,67c2e71b-e881-4bec-87ef-75b8bc8b7d5d
416f2689-05cb-4368-89fd-481c51cc51c2,aef79796-184e-4e75-8da6-5298056289b2
16570b8e-f59b-4537-8043-2bb759e8307c,7dbea4f9-c7ae-4ac7-b937-12b10b726241
1eac0cac-ae07-4aa3-9b50-adb90fad58de,23aee39c-7c30-43b4-9aef-f0017ba1ef48
1eac0cac-ae07-4aa3-9b50-adb90fad58de,5271953e-e6ad-4553-adc4-e24c0368828f
f77147e5-b9e8-438a-9aa1-3869792f4a06,c193d1ed-6068-427e-88f1-41d7559a34e9
3e20440e-7791-4f1d-b1da-fef2d17d7b70,5123c9fb-39ef-4f57-8c28-00c991f8ebba
3e20440e-7791-4f1d-b1da-fef2d17d7b70,4c85e468-5b5f-482a-958b-e0bf0716661e
f3190cd0-9f25-4c4e-83ac-2726e1cea008,7303e9aa-01b6-4bec-9875-b346335f823d
e692de17-a2fe-46ca-9a33-f1be4be755a2,44ac3863-c0fb-47d1-9bd1-50d98deae258
dfe6be18-7aee-4f90-ac4d-80a9afbf0963,98c59410-7313-4dbc-bad0-eaed9eae231f
dfe6be18-7aee-4f90-ac4d-80a9afbf0963,7f38f82a-8fd8-455f-861a-4c8a05f37b38
52398ef6-661b-47f1-b544-47f9bed3158c,2dfb54ee-bb2d-402e-bc21-f7251de90ef8
a8d9fdaa-a523-4898-8d31-6ca6be37fa88,5669f2b1-6e21-41df-a6a0-781c0875ff87
a8d9fdaa-a523-4898-8d31-6ca6be37fa88,743b4188-4fc5-43fb-a527-640469f3c121
0bce26f1-5799-48f7-8396-0eb48d32fae1,8c9b0f22-f7b6-4bb8-adca-30a90b09730d
36c446c9-1bf9-4b23-88b8-271599944eae,336be9cd-77ad-4589-89bf-f424df59c2f7
bd9f911b-3b63-4204-a86b-8574c1b6a85a,589a098e-cfee-4703-a4c0-e6d39f8bb7df
61ab988d-d02f-4734-9e5a-fdd46141dd06,5bcd0834-c052-41b7-b7b3-5130240b84de
04319650-8a3b-4711-8416-eaa903255f9b,930f7d9c-ae6f-4bbb-aede-e9b287dd4528
b66fdd45-520e-4f1d-9a46-349794c8d8df,4259dc16-bf18-4e87-966d-b31fb064cb12
b0f0f5f4-9218-41d7-91b1-8d27115299f9,cc1e4cde-5b88-4e5a-8f78-9e98ee1ce62c
b0f0f5f4-9218-41d7-91b1-8d27115299f9,5a6805c1-9533-49a3-b753-a9ac6c649b31
09ec0767-e949-4bb5-9357-1f7f8db2d6e7,951769d5-c4db-467b-b51d-f5d97e82febd
81b5c337-2b9e-4b68-8e05-2848c718cc6c,66e125aa-5a02-4e98-a74e-02bbae28e3ad
81b5c337-2b9e-4b68-8e05-2848c718cc6c,8d839c3e-d9bf-40dc-9e6f-4fe679da23c0
c97d9266-42b6-4da9-9f1b-a23c264b5c69,7381a451-1f81-482f-a64f-9baae72081e8
c97d9266-42b6-4da9-9f1b-a23c264b5c69,11b145c9-77fa-4047-a10b-d7bdc59c6b75
4eec34b0-b672-4f18-ab06-2c17868c0008,ac692cc1-c748-4351-8c34-6ca9d428313b
