exam_id,course_id,scheduled_date,exam_location,approved_by
9fcb17b0-ae91-4b62-930c-60722ac822a6,b54e2faa-c332-479f-bf25-bee5ac67742f,2024-06-12,CHEM 103,385e2408-9994-4894-9b2c-2909ae6601ba
44376931-f050-4077-81de-8a8760d451db,b54e2faa-c332-479f-bf25-bee5ac67742f,2024-08-22,CHEM 289,1f699f18-cd96-412e-a434-820f3f0584ee
af3ca233-0db0-4c09-88ee-024400bc32ca,b54e2faa-c332-479f-bf25-bee5ac67742f,2024-03-03,HRBB 347,bf8806e2-deb7-4f93-b353-1c0bfa32c1f7
d3490c16-4d38-46ab-a9ba-fbce0345ee8f,b54e2faa-c332-479f-bf25-bee5ac67742f,2024-06-07,ZACH 286,6e3a8421-6aa0-4241-8e54-548b121cc708
5645a7c0-69f9-44fe-8ec9-997a5e5aa3df,573b6b9c-8498-4294-8cfb-23afbd267b21,2024-09-23,ZACH 121,a720b590-2d60-462a-a31f-a662e763fda9
7f441022-bc68-44ce-a1f8-62091d927643,573b6b9c-8498-4294-8cfb-23afbd267b21,2024-06-21,ZACH 104,d4cd4971-e4d9-48d2-9dc8-0c3861d166a2
6a28bc43-2368-471d-a2a3-1de301dd20c7,149a97e9-a989-455f-b1f2-359237fbe663,2024-03-07,COKE 105,ed6e0ed8-d244-49a2-8317-7e50084aae6f
4b19b129-3b8b-469a-8a08-7e52108254d0,149a97e9-a989-455f-b1f2-359237fbe663,2024-06-03,EVAN 302,13c5392d-bd41-4604-b9d8-142f59cd1c02
5e442719-919e-49f4-b3dc-fcf104e63904,149a97e9-a989-455f-b1f2-359237fbe663,2024-09-05,ILCB 179,fbbb6842-8035-40b4-9b41-f0e66beb8198
23eeeb15-3318-4dd2-aff1-204cf3d28204,149a97e9-a989-455f-b1f2-359237fbe663,2024-04-19,LANG 222,7670831b-a6e9-4780-b17f-32be636f1c9c
eac2913c-0dcf-4b1e-aa76-43b896fa040b,149a97e9-a989-455f-b1f2-359237fbe663,2024-10-22,ZACH 192,ed1d07a3-33c3-4116-bb96-cbef57ec94e9
7139bac1-dc41-44b0-80fa-2b89d43e7d96,133affc3-0d0d-4e26-a3ba-38841f1e8d35,2024-07-14,ARCA 298,861b8f10-9199-4a19-9eee-b5da7d970cdc
da450884-f389-417e-9474-76aad712aa5f,133affc3-0d0d-4e26-a3ba-38841f1e8d35,2024-08-22,ARCA 315,f3b997ff-cdf0-4b78-98b8-7c34e3693028
f0858186-8fdd-475f-9616-8aaf30f166c7,133affc3-0d0d-4e26-a3ba-38841f1e8d35,2024-09-19,LANG 373,03ee944b-9db2-4caf-a731-a26e64fb1404
02695d2d-4e9d-4e78-afc9-e2fa63b3af04,133affc3-0d0d-4e26-a3ba-38841f1e8d35,2024-03-10,HRBB 287,9ed01de9-6fea-4505-b428-b28f727a0b2e
ca726933-75df-425c-925b-b6160a6a1468,133affc3-0d0d-4e26-a3ba-38841f1e8d35,2024-02-11,EABA 298,c35091c4-88ca-4f2d-8abd-f742f7a9cd94
9444ef39-5a7c-47b8-a615-d52e00056b34,1582435c-f87f-4223-9bf4-1e44cd09057a,2024-07-23,HELD 323,ad5d6233-bf20-44f4-8e95-88e008d08b12
a0dd1078-43d2-4b28-bd80-422374d7bf5b,1582435c-f87f-4223-9bf4-1e44cd09057a,2024-08-02,CHEM 299,94b66a59-465e-4884-be96-5c340b78e80e
0ef229dc-28c1-4998-b46d-015e6561e274,1582435c-f87f-4223-9bf4-1e44cd09057a,2024-07-07,ILCB 191,2c4af6f0-7d68-405a-8e16-4a27e30efd3a
60eba810-e6d1-4178-936c-2239bfc35876,4b57f55b-836c-4e4a-8b8f-5c30c50de023,2024-04-11,ILCB 101,e29ee64c-a425-4ce9-986b-cc6b8bcfe0b3
41e20b49-0869-4261-a3f1-020d87c27d49,4b57f55b-836c-4e4a-8b8f-5c30c50de023,2024-06-05,ZACH 313,e1420085-2f09-4def-9a8a-af38ed77f93d
9341c4a0-b197-40e2-915e-7085ab5c56e3,4b57f55b-836c-4e4a-8b8f-5c30c50de023,2024-05-10,ZACH 329,bdcb3563-eba0-4499-b093-92c8bfeefe29
d95dcffe-de32-40ec-902f-b951cb44cc8f,4b57f55b-836c-4e4a-8b8f-5c30c50de023,2024-07-18,CHEM 267,98a219ea-a027-4b82-aa7c-134318caae2f
b2dacfcc-1334-4254-8cbc-07eed3e0079f,af3d8b6e-3203-4cfa-a6b6-576cf814c835,2024-02-20,COKE 263,3915e07c-c109-42a5-82c4-169e3b0a8262
e47cdba0-cd8c-4fc8-b8f9-4bdc36bd8fd1,af3d8b6e-3203-4cfa-a6b6-576cf814c835,2024-04-24,HELD 273,ca1d9761-5f5b-4f8b-ab59-023fa5fc3f6e
e4fef2e7-e147-4bb7-a186-bf5e8f8f8914,3b5e98fe-de1b-4186-9ded-47070a72e59c,2024-11-16,COKE 331,4d591c8a-c344-4b1c-a805-2623e07c97da
e4296d4b-1f42-40ad-988b-3aedec007c64,3b5e98fe-de1b-4186-9ded-47070a72e59c,2024-09-23,CHEM 276,60a4c421-be44-4cac-b24d-c56fc907819c
9fe2fb4c-0a47-46bd-ab5b-6b8a04c708d5,3b5e98fe-de1b-4186-9ded-47070a72e59c,2024-03-16,CHEM 128,e7862ae0-fba7-43f5-bfdc-346a7c47a115
5644ea72-9817-4579-a299-e03d152716bc,3b5e98fe-de1b-4186-9ded-47070a72e59c,2024-03-15,EABA 138,7c3739e0-50a9-4101-a392-d07413668ef8
fd217145-87f1-4b69-9441-2feeb152a524,60592ca3-733b-42ce-8689-fe8fc86b842c,2024-10-09,ILCB 293,d6054b31-04d8-433f-a837-238313e8414e
ca7ad490-c1be-440e-859c-2d3eaf5957ab,60592ca3-733b-42ce-8689-fe8fc86b842c,2024-09-20,ILCB 138,10dc5b32-476e-4390-aa03-efe2c292c2fe
d37ef379-eca6-4a49-bd83-b935ed5bec26,92589052-ecd9-40d7-a858-2910d9b1b9a6,2024-02-16,HELD 368,8b1d35d1-1d04-4967-92df-f00c2ec558b1
4e69d34b-07c5-4ebe-a7c2-880d9081d412,92589052-ecd9-40d7-a858-2910d9b1b9a6,2024-11-10,CHEM 377,251d1f11-50ec-4155-b5d7-5bd90c49ee51
70a62f83-f5f6-4007-88f1-e145934c94f4,92589052-ecd9-40d7-a858-2910d9b1b9a6,2024-04-02,EABA 351,b639a7e1-4cb5-447b-8829-bea8bcb35aae
861c961b-47ba-40a8-b9b4-bea37e178dbe,44a3be59-a8d2-4112-8bcf-ed89968db083,2024-01-07,HRBB 352,2e5898ab-783c-45cc-bd5d-530cf4f35eb5
434a8e40-38f4-4e82-826e-e34fb2ab3acd,44a3be59-a8d2-4112-8bcf-ed89968db083,2024-12-25,EVAN 159,c0ee7355-b58b-4da5-bf2d-4588e0854d31
29327a5c-3aba-4ae8-b746-1df63a698be5,44a3be59-a8d2-4112-8bcf-ed89968db083,2024-12-28,LANG 283,eadec2fa-c090-441a-a9b4-f0916f08bfaf
